Harvest_year,Company,Tobacco_Type,Class,R$_Kg
2021_2022,CTA,Virginia,C L 2,8.58
2021_2022,CTA,Virginia,C K,5.33
2021_2022,CTA,Virginia,X O 1,11.78
2021_2022,CTA,Virginia,X O 2,9.89
2021_2022,CTA,Virginia,X O 3,8.11
2021_2022,CTA,Virginia,X R 1,8.83
2021_2022,CTA,Virginia,X R 2,5.47
2021_2022,CTA,Virginia,X R 3,3.22
2021_2022,CTA,Virginia,X L 1,9.40
2021_2022,CTA,Virginia,X L 2,7.63
2021_2022,CTA,Virginia,X K,3.92
2021_2022,CTA,Virginia,G 2,5.10
2021_2022,CTA,Virginia,G 3,1.33
2021_2022,CTA,Virginia,N,3.36
2021_2022,CTA,Virginia,S C,1.33
2021_2022,CTA,Virginia,S T,0.81
2021_2022,CTA,Burley,T 1,11.50
2021_2022,CTA,Burley,T 1 L,10.41
2021_2022,CTA,Burley,T 2,10.11
2021_2022,CTA,Burley,T 2 L,8.01
2021_2022,CTA,Burley,T 3,7.18
2021_2022,CTA,Burley,T 3 L,6.30
2021_2022,CTA,Burley,T K,4.64
2021_2022,CTA,Burley,B 1,13.46
2021_2022,CTA,Burley,B 1 L,10.78
2021_2022,CTA,Burley,B 2,10.22
2021_2022,CTA,Burley,B 2 L,9.00
2021_2022,CTA,Burley,B 3,8.12
2021_2022,CTA,Burley,B 3 L,6.74
2021_2022,CTA,Burley,B K,5.82
2021_2022,CTA,Burley,C 1,11.99
2021_2022,CTA,Burley,C 1 L,10.68
2021_2022,CTA,Burley,C 2,10.18
2021_2022,CTA,Burley,C 2 L,9.00
2021_2022,CTA,Burley,C 3,7.91
2021_2022,CTA,Burley,C 3 L,6.51
2021_2022,CTA,Burley,C K,5.82
2021_2022,CTA,Burley,X 1,10.78
2021_2022,CTA,Burley,X 1 L,10.34
2021_2022,CTA,Burley,X 2,9.19
2021_2022,CTA,Burley,X 2 L,8.60
2021_2022,CTA,Burley,X 3,7.18
2021_2022,CTA,Burley,X 3 L,6.51
2021_2022,CTA,Burley,X K,5.20
2021_2022,CTA,Burley,N,2.10
2021_2022,CTA,Burley,G,0.88
2021_2022,Premium,Virginia,T O 1,14.56
2021_2022,Premium,Virginia,T O 2,12.26
2021_2022,Premium,Virginia,T O 3,9.91
2021_2022,Premium,Virginia,T R 1,11.06
